Symbol,Description,Fund Type,ETF Select List® Category,ETF Select List,Top Ten Holdings,Gross Expense Ratio,Sector Exposure: Information Technology,Source
BCD,abrdn Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF,ETF,Commodities Broad,Yes,--,0.30%,--,Uploaded ETF Select List
BKAG,BNY Mellon Core Bond ETF,ETF,Intermediate Broad Market Bond,Yes,--,0.00%,--,Uploaded ETF Select List
BLV,Vanguard Long-Term Bond Index Fund ETF Shares,ETF,Long Term Broad Market Bond,Yes,--,0.03%,--,Uploaded ETF Select List
BNDW,Vanguard Total World Bond ETF,ETF,International Bond,Yes,|BND||BNDX|,0.05%,--,Uploaded ETF Select List
BSV,Vanguard Short-Term Bond Index Fund ETF Shares,ETF,Short Term Broad Market Bond,Yes,--,0.03%,--,Uploaded ETF Select List
DIVB,iShares Core Dividend ETF,ETF,Total Market Dividend-focused,Yes,|ADP||IBM||ACN||JPM||PAYX||JNJ||HPQ||XOM||ABBV||CTSH|,0.05%,18.32%,Uploaded ETF Select List
EFG,iShares MSCI EAFE Growth ETF,ETF,Intl Developed Growth,Yes,|ASML||AZN||8035||CBA||SU||SAP||ABBN||RR.||NOVO B||UBSG|,0.34%,20.68%,Uploaded ETF Select List
FIVA,Fidelity International Value Factor ETF,ETF,Intl Developed Value,Yes,|285A||ASML||6723||NESN||SIE||TD||7735||8306||PNDORA||CNR|,0.18%,13.74%,Uploaded ETF Select List
FMAT,Fidelity MSCI Materials Index ETF,ETF,Materials,Yes,|LIN||NEM||FCX||SHW||ECL||CRH||APD||CTVA||NUE||VMC|,0.08%,0.00%,Uploaded ETF Select List
FNDA,Schwab Fundamental U.S. Small Company ETF,ETF,Small Weighted Fundamental,Yes,|COMP||MKSI||LITE||VSXY||AMKR||COHR||VSAT||TEX||ACHC||ENTG|,0.25%,13.92%,Uploaded ETF Select List
FNDB,Schwab Fundamental U.S. Broad Market ETF,ETF,Total Market Weighted Fundamental,Yes,|AAPL||MSFT||XOM||INTC||GOOGL||AMZN||BRK/B||UNH||JPM||GOOG|,0.25%,18.78%,Uploaded ETF Select List
FNDC,Schwab Fundamental International Small Equity ETF,ETF,Intl Small Weighted Fundamental,Yes,|4062||01888||6976||032830||047040||TSEM||004170||028050||IGG|,0.39%,9.73%,Uploaded ETF Select List
FNDE,Schwab Fundamental Emerging Markets Equity ETF,ETF,Emerging Market Weighted Fundamental,Yes,|2330||VALE3||2317||09988||00939||PETR4||PETR3||00700||2454||JD|,0.39%,22.30%,Uploaded ETF Select List
FNDF,Schwab Fundamental International Equity ETF,ETF,Intl Large Weighted Fundamental,Yes,|005930||SHEL||TTE||BHP||HSBA||GLEN||BP.||000660||7203|,0.25%,11.91%,Uploaded ETF Select List
FNDX,Schwab Fundamental U.S. Large Company ETF,ETF,Large Weighted Fundamental,Yes,|AAPL||MSFT||XOM||INTC||GOOGL||AMZN||BRK/B||UNH||JPM||GOOG|,0.25%,19.14%,Uploaded ETF Select List
FUTY,Fidelity MSCI Utilities Index ETF,ETF,Utilities,Yes,|NEE||SO||DUK||AEP||CEG||D||SRE||ETR||VST||XEL|,0.08%,0.00%,Uploaded ETF Select List
HDV,iShares Core High Dividend ETF,ETF,Large Dividend-focused,Yes,|XOM||ABBV||CVX||VZ||HD||PG||PM||PFE||MRK||KO|,0.08%,0.00%,Uploaded ETF Select List
IAUM,iShares® Gold Trust Micro,ETF,Gold,Yes,--,0.09%,--,Uploaded ETF Select List
ICVT,iShares Convertible Bond ETF,ETF,Convertibles,Yes,|XTSLA|,0.20%,0.00%,Uploaded ETF Select List
IDV,iShares International Select Dividend ETF,ETF,Intl Dividend-focused,Yes,|TTE||BATS||ENEL||RIO||ENI||TEF||MBG||ZURN||INGA||REP|,0.50%,0.84%,Uploaded ETF Select List
ILCB,iShares Morningstar U.S. Equity ETF,ETF,Large Core,Yes,|NVDA||AAPL||MSFT||AMZN||GOOGL||AVGO||GOOG||META||TSLA||MU|,0.03%,37.86%,Uploaded ETF Select List
